"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 368/24","22/11/2023","28/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","בירור פרטני לעניין קביעת שכר הדירה","סיום טיפול","בלתי מוצדק","04/11/2024","7",
" 217/21","17/11/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","בית חולים רמב"ם","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","בלתי מוצדק","23/05/2021","22",
" 218/21","29/10/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","המרכז לבריאות הנפש שער מנשה","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","200",
" 220/21","29/10/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","המרכז לבריאות הנפש באר-יעקב נס-ציונה מב"ן (שב"ס)","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","200",
" 221/21","29/10/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","מרכז בריאות הנפש באר שבע","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","200",
" 222/21","27/10/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","מרכז בריאות הנפש מזור","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","200",
" 223/21","25/10/2020","01/05/2021","טופס מקוון","אזרח","","אי מתן מענה","המרכז הרפואי לבריאות הנפש מעלה הכרמל","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","200",
" 227/21","31/12/2020","02/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","יומן שר המשפטים","סיום טיפול","מוצדק","30/08/2021","120",
" 232/21","07/03/2021","05/05/2021","טופס מקוון","עמותה","התנועה לחופש המידע (ע"ר)","אי מתן מענה","משרד ראש הממשלה","התכנית להעברת חיסונים למדינות זרות","סיום טיפול","מוצדק","14/12/2021","223",
" 233/21","14/02/2021","05/05/2021","טופס מקוון","עמותה","התנועה לחופש המידע (ע"ר)","אי מתן מענה","משרד ראש הממשלה","חומרי רקע מדיוני קבינט הקורונה ומדיניות הפרסום שלו","סיום טיפול","מוצדק","14/12/2021","223",
" 234/21","01/02/2021","05/05/2021","טופס מקוון","עמותה","התנועה לחופש המידע (ע"ר)","אי מתן מענה","משרד הבריאות","מרכזים אקוטיים וטיפול בערכות אונס","סיום טיפול","מוצדק","14/12/2021","223",
" 235/21","10/02/2021","06/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","קבלת מידע בנושא הקרן לעסקים בערבות המדינה","סיום טיפול","מוצדק","17/11/2021","195",
" 236/21","05/04/2021","06/05/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","מידע ב 3 בקשות","סיום טיפול","בלתי מוצדק","01/06/2021","26",
" 238/21","04/04/2021","07/05/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","דוח ria","סיום טיפול","בלתי מוצדק","01/06/2021","25",
" 240/21","01/03/2021","09/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","דו"ח מוניטור בנושא יישום דו"ח מבקר שנתי )2010 )61ב","סיום טיפול","מוצדק","20/06/2021","42",
" 244/21","06/12/2020","10/05/2021","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","אי מתן מענה - מעבר אלנבי פלסטינים","סיום טיפול","בלתי מוצדק","11/05/2021","1",
" 249/21","24/09/2020","12/05/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","פרסום מניעויות דיינים","סיום טיפול","בלתי מוצדק","20/05/2021","8",
" 250/21","24/08/2020","13/05/2021","טופס מקוון","עמותה","המשפט בשירות הזיקנה","אי מתן מענה","משרד הבריאות","חולי ונפטרי נגיף הקורונה","סיום טיפול","מוצדק","14/12/2021","215",
" 251/21","23/10/2020","14/05/2021","טופס מקוון","אזרח","","אי מתן מענה","המרכז הירושלמי לבריאות הנפש","נתונים על מחלקות פסיכיאטריות ","סיום טיפול","מוצדק","17/11/2021","187",
" 255/21","16/02/2021","18/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מספר נפגעים מתקיפת כלבים","סיום טיפול","מוצדק","16/08/2021","90",
" 256/21","04/04/2021","18/05/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","הנחיות בגיור","סיום טיפול","בלתי מוצדק","07/11/2021","173",
" 257/21","18/04/2021","18/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","הנחיות בגיור","סיום טיפול","מוצדק","07/11/2021","173",
" 258/21","06/01/2020","18/05/2021","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","בקשת מידע לקבלת נתונים שנאספו עליי במיונים לצה"ל.","סיום טיפול","מוצדק","14/12/2021","210",
" 259/21","20/04/2021","19/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","פרמיות סטודנטים","סיום טיפול","מוצדק","30/08/2021","103",
" 267/21","22/02/2021","23/05/2021","טופס מקוון","עמותה","הטלוויזיה החברתית - לקידום סדר יום חברתי בישראל","אי מתן מענה","צה"ל","נתונים על מספר הפטורים שהצבא הנפיק מסיבות רפואיות-נפשיות ומספר ההתאבדויות של חיילים בתקופה של חמש שנים.","סיום טיפול","מוצדק","27/04/2022","339",
" 270/21","08/04/2021","24/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","החלטה להיטל קנס על חברת הדואר","סיום טיפול","בלתי מוצדק","17/11/2021","177",
" 284/21","27/05/2021","31/05/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","מידע על החברות שזכו במכרז להבאת תיירים מחוסנים","סיום טיפול","בלתי מוצדק","07/07/2021","37",
" 286/21","13/02/2021","02/06/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","גיור (שתי בקשות שונות)","סיום טיפול","מוצדק","18/08/2021","77",
" 290/21","26/01/2021","05/06/2021","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","שיעורי מחזור של בקבוקים גדולים","סיום טיפול","מוצדק","28/07/2021","54",
" 294/21","09/02/2021","06/06/2021","טופס מקוון","עמותה","עתים - יעוץ ומידע במעגל החיים היהודי (ע"ר)","אי מתן מענה","משרד ראש הממשלה","מערך הגיור","סיום טיפול","מוצדק","30/08/2021","85",
" 295/21","28/01/2021","06/06/2021","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","חאן לבונה","סיום טיפול","מוצדק","16/08/2021","71",
" 296/21","03/02/2021","07/06/2021","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","חאן לבונה","סיום טיפול","מוצדק","18/08/2021","72",
" 299/21","14/04/2021","07/06/2021","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","אכיפה בתחום פסולת הבניה","סיום טיפול","בלתי מוצדק","09/06/2021","2",
" 301/21","06/06/2021","08/06/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אי מתן מענה סמוכין 273664 ","סיום טיפול","בלתי מוצדק","09/06/2021","1",
" 305/21","24/03/2021","13/06/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הבריאות","רשיון יבואן 7315","סיום טיפול","מוצדק","14/12/2021","184",
" 306/21","07/12/2020","13/06/2021","טופס מקוון","עמותה","מוסרי","אי מתן מענה","משרד החינוך","שימועים ובדיקות לגבי מנהל","סיום טיפול","מוצדק","30/08/2021","78",
" 315/21","22/05/2019","17/06/2021","טופס מקוון","אחר","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","הכרעת דין בנושא עגורנים שהועברה למשרד העבודה לטיפול","סיום טיפול","בלתי מוצדק","11/05/2023","693",
" 319/21","22/04/2021","23/06/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","נתוני תמותה בישראל","סיום טיפול","מוצדק","27/04/2022","308",
" 320/21","03/02/2021","23/06/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבריאות","פרוטוקול טיפול תרופתי בחולי קורונה","סיום טיפול","בלתי מוצדק","09/08/2021","47",
" 328/21","23/02/2020","04/07/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","דישון KCL אורגני לשנה בקרקעות ישראל","סיום טיפול","מוצדק חלקית","21/07/2021","17",
" 329/21","02/06/2021","04/07/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי המשפט","אי המצאת אסמכתאות ללא סיבה מוצדקת בחוק","סיום טיפול","בלתי מוצדק","30/08/2021","57",
" 332/21","21/12/2020","05/07/2021","טופס מקוון","חברה","","אי מתן מענה","המשרד להגנת הסביבה","בקשת מידע על מפעל כנפית","סיום טיפול","מוצדק","16/03/2022","254",
" 335/21","30/12/2020","08/07/2021","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה"," חשיפת יומנו של נציב הכבאות","סיום טיפול","מוצדק","10/03/2022","245",
" 337/21","08/03/2020","11/07/2021","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","אי מתן מענה לפי הוראות החוק","סיום טיפול","מוצדק","16/03/2022","248",
" 339/21","11/07/2021","11/07/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בית החולים הצרפתי, נצרת","סיום טיפול","בלתי מוצדק","21/02/2022","225",
" 341/21","27/04/2021","12/07/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","אישורי מנכ"ל משרד האוצר לוועד מקומי שערי תקווה","סיום טיפול","בלתי מוצדק","14/02/2022","217",
" 342/21","27/04/2021","12/07/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","אישורי מנכ"ל משרד הפנים והממונה ביו"ש","סיום טיפול","מוצדק","30/08/2021","49",
" 343/21","23/02/2021","12/07/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מספר המונשמים בכל בתי החולים בשנים האחרונות","סיום טיפול","מוצדק","16/03/2022","247",
" 345/21","11/07/2021","13/07/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות המים והביוב","אי מתן מענה סמוכין 279542 11.07.21 ","סיום טיפול","בלתי מוצדק","21/07/2021","8",
" 353/21","06/04/2021","19/07/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","יומני פגישות התייעצות לדוח RIA בקשה 260862","סיום טיפול","מוצדק","30/05/2022","315",
