complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 368/24,22/11/2023,28/10/2024,online form,citizen,,failure to respond,משרד הבינוי והשיכון,בירור פרטני לעניין קביעת שכר הדירה,termination of treatment,unjustified,04/11/2024,7
 217/21,17/11/2020,01/05/2021,online form,citizen,,failure to respond,"בית חולים רמבם""",נתונים על מחלקות פסיכיאטריות ,termination of treatment,unjustified,23/05/2021,22
 218/21,29/10/2020,01/05/2021,online form,citizen,,failure to respond,המרכז לבריאות הנפש שער מנשה,נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,200
 220/21,29/10/2020,01/05/2021,online form,citizen,,failure to respond,"המרכז לבריאות הנפש באר-יעקב נס-ציונה מבן (שב""ס)""",נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,200
 221/21,29/10/2020,01/05/2021,online form,citizen,,failure to respond,מרכז בריאות הנפש באר שבע,נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,200
 222/21,27/10/2020,01/05/2021,online form,citizen,,failure to respond,מרכז בריאות הנפש מזור,נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,200
 223/21,25/10/2020,01/05/2021,online form,citizen,,failure to respond,המרכז הרפואי לבריאות הנפש מעלה הכרמל,נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,200
 227/21,31/12/2020,02/05/2021,online form,citizen,,failure to respond,משרד המשפטים,יומן שר המשפטים,termination of treatment,justified,30/08/2021,120
 232/21,07/03/2021,05/05/2021,online form,non-profit organization,"התנועה לחופש המידע (ער)""",failure to respond,משרד ראש הממשלה,התכנית להעברת חיסונים למדינות זרות,termination of treatment,justified,14/12/2021,223
 233/21,14/02/2021,05/05/2021,online form,non-profit organization,"התנועה לחופש המידע (ער)""",failure to respond,משרד ראש הממשלה,חומרי רקע מדיוני קבינט הקורונה ומדיניות הפרסום שלו,termination of treatment,justified,14/12/2021,223
 234/21,01/02/2021,05/05/2021,online form,non-profit organization,"התנועה לחופש המידע (ער)""",failure to respond,משרד הבריאות,מרכזים אקוטיים וטיפול בערכות אונס,termination of treatment,justified,14/12/2021,223
 235/21,10/02/2021,06/05/2021,online form,citizen,,failure to respond,משרד האוצר,קבלת מידע בנושא הקרן לעסקים בערבות המדינה,termination of treatment,justified,17/11/2021,195
 236/21,05/04/2021,06/05/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,מידע ב 3 בקשות,termination of treatment,unjustified,01/06/2021,26
 238/21,04/04/2021,07/05/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,דוח ria,termination of treatment,unjustified,01/06/2021,25
 240/21,01/03/2021,09/05/2021,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,"דוח מוניטור בנושא יישום דו""ח מבקר שנתי )2010 )61ב""",termination of treatment,justified,20/06/2021,42
 244/21,06/12/2020,10/05/2021,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",failure to respond - מעבר אלנבי פלסטינים,termination of treatment,unjustified,11/05/2021,1
 249/21,24/09/2020,12/05/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,פרסום מניעויות דיינים,termination of treatment,unjustified,20/05/2021,8
 250/21,24/08/2020,13/05/2021,online form,non-profit organization,המשפט בשירות הזיקנה,failure to respond,משרד הבריאות,חולי ונפטרי נגיף הקורונה,termination of treatment,justified,14/12/2021,215
 251/21,23/10/2020,14/05/2021,online form,citizen,,failure to respond,המרכז הירושלמי לבריאות הנפש,נתונים על מחלקות פסיכיאטריות ,termination of treatment,justified,17/11/2021,187
 255/21,16/02/2021,18/05/2021,online form,citizen,,failure to respond,משרד הבריאות,מספר נפגעים מתקיפת כלבים,termination of treatment,justified,16/08/2021,90
 256/21,04/04/2021,18/05/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,הנחיות בגיור,termination of treatment,unjustified,07/11/2021,173
 257/21,18/04/2021,18/05/2021,online form,citizen,,failure to respond,משרד ראש הממשלה,הנחיות בגיור,termination of treatment,justified,07/11/2021,173
 258/21,06/01/2020,18/05/2021,online form,citizen,,failure to respond,"צהל""","בקשת מידע לקבלת נתונים שנאספו עליי במיונים לצהל.""",termination of treatment,justified,14/12/2021,210
 259/21,20/04/2021,19/05/2021,online form,citizen,,failure to respond,משרד האוצר,פרמיות סטודנטים,termination of treatment,justified,30/08/2021,103
 267/21,22/02/2021,23/05/2021,online form,non-profit organization,הטלוויזיה החברתית - לקידום סדר יום חברתי בישראל,failure to respond,"צהל""",נתונים על מספר הפטורים שהצבא הנפיק מסיבות רפואיות-נפשיות ומספר ההתאבדויות של חיילים בתקופה של חמש שנים.,termination of treatment,justified,27/04/2022,339
 270/21,08/04/2021,24/05/2021,online form,citizen,,failure to respond,משרד התקשורת,החלטה להיטל קנס על חברת הדואר,termination of treatment,unjustified,17/11/2021,177
 284/21,27/05/2021,31/05/2021,online form,citizen,,failure to respond,משרד התיירות,מידע על החברות שזכו במכרז להבאת תיירים מחוסנים,termination of treatment,unjustified,07/07/2021,37
 286/21,13/02/2021,02/06/2021,online form,citizen,,failure to respond,משרד ראש הממשלה,גיור (שתי בקשות שונות),termination of treatment,justified,18/08/2021,77
 290/21,26/01/2021,05/06/2021,online form,citizen,,failure to respond,המשרד להגנת הסביבה,שיעורי מחזור של בקבוקים גדולים,termination of treatment,justified,28/07/2021,54
 294/21,09/02/2021,06/06/2021,online form,non-profit organization,"עתים - יעוץ ומידע במעגל החיים היהודי (ער)""",failure to respond,משרד ראש הממשלה,מערך הגיור,termination of treatment,justified,30/08/2021,85
 295/21,28/01/2021,06/06/2021,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,חאן לבונה,termination of treatment,justified,16/08/2021,71
 296/21,03/02/2021,07/06/2021,online form,citizen,,failure to respond,"צהל""",חאן לבונה,termination of treatment,justified,18/08/2021,72
